,Vdot,power_reduction
0,10.0,-0.7324424601785442
1,20.0,-0.5390105561385287
2,30.0,-0.40955990338589704
3,40.0,-0.32239511758097866
4,50.0,-0.259435018575596
5,60.0,-0.21198088065570897
6,100.0,-0.10089973226122112
7,150.0,-0.035562257250008014
8,200.0,-0.0
9,300.0,0.04093882154854148
